pdb_id,protein_class,protein_description,protein_complexity,precision,recall,f1_score,spatial_overlap,center_distance,volume_similarity,pocket_depth,pocket_polarity,num_predictions,consensus_score,binding_potential_score,druggability_score,knowledge_based_score
1DLS,enzymes,Dihydrofolate reductase,3.976597667265084,0.21311475409836064,0.3170731707317073,0.2549019607843137,0.18091478355567656,11.7326,0.8159933012350847,5.052303,0.31393298059964725,79,3.0,31.93,0.45,1.5
1LZE,enzymes,Lysozyme,3.822601116095697,0.0,0.0,0.0,0.005167173252279635,16.66932,0.9579632918886916,3.4504044,0.38095238095238093,18,1.3,6.58,0.17,3.5
1FXY,enzymes,Trypsin,4.317978873651814,0.0,0.0,0.0,0.0018112660749864155,19.624344,0.36905940594059405,4.144332,0.2834008097165992,66,3.0,10.79,0.38,1.5
1RNM,enzymes,Ribonuclease A,3.4149809124613597,0.1320754716981132,0.9333333333333333,0.23140495867768596,0.17980159823642877,3.404149,0.1917884481558803,6.077626,0.381057268722467,144,1.3,6.2,0.0,3.0
2CBA,enzymes,Carbonic anhydrase II,4.216346376758231,0.05,0.75,0.09375000000000001,0.0784908933217693,10.098734,0.09825568558180614,7.1983604,0.30707070707070705,73,3.0,11.85,0.31,1.5
1MBO,transporters,Myoglobin,3.4323521787605116,0.25,0.3333333333333333,0.28571428571428575,0.16112444292080905,10.56217,0.8671444321940464,2.5801187,0.29411764705882354,20,7.0,23.38,,
1RBP,transporters,Retinol binding protein,3.880093550472349,0.5,0.4375,0.4666666666666667,0.3252900232018561,8.80893,0.8826631509558339,3.7640631,0.30701754385964913,14,3.0,11.18,0.36,1.5
1ANF,transporters,Maltose binding protein,5.731524335240694,0.09090909090909091,0.2857142857142857,0.13793103448275862,0.09311655405405406,14.653405,0.4599548787366046,6.624296,0.33865814696485624,45,3.0,11.33,0.26,2.5
1GZX,transporters,Hemoglobin,7.078682392981827,0.0,0.0,0.0,0.0005903768572271967,18.728462,0.49193075117370894,3.717421,0.35517241379310344,43,3.0,11.04,0.49,1.5
5GGE,transporters,Fatty acid binding protein,4.501510373638439,0.0,0.0,0.0,0.0,16.870691,0.2276467361492046,0.56467366,0.16279069767441862,3,3.0,12.04,,
1RDT,receptors,Retinoid X receptor,7.760611293607813,0.0,0.0,0.0,0.0,26.500803,0.539644656589764,4.325894,0.3502824858757062,22,3.0,12.42,0.43,3.5
1FM9,receptors,Peroxisome proliferator-activated receptor,8.55380961963618,0.0,0.0,0.0,0.0,20.984587,0.9654067905188981,2.2531233,0.3722627737226277,17,3.0,11.7,0.19,3.5
181L,receptors,T4 lysozyme L99A mutant,3.8875308292537243,0.0625,1.0,0.11764705882352941,0.07711053089643168,12.524058,0.07711053089643168,4.485179,0.35285714285714287,108,3.0,11.37,0.35,2.5
1FKF,receptors,FK506 binding protein,3.0763723667883722,0.2727272727272727,0.42857142857142855,0.33333333333333326,0.24005305039787797,7.360572,0.7566932832315642,5.960158,0.30601092896174864,22,3.0,43.53,0.45,4.0
1A28,receptors,Progesterone receptor,6.223510619932786,0.21052631578947367,0.13333333333333333,0.163265306122449,0.09329384387560821,11.548764,0.593586185630589,2.901311,0.3212121212121212,19,1.0,7.74,0.47,6.5
2RH1,challenging,Beta-2 adrenergic receptor,5.549416596349762,0.11666666666666667,0.4117647058823529,0.1818181818181818,0.15634782608695652,7.2188725,0.3974358974358974,4.037397,0.28542094455852157,72,3.0,10.75,0.48,2.0
6QEX,challenging,P-glycoprotein,7.771985815602837,0.0,0.0,0.0,0.0,19.781498,0.290979097909791,4.585071,0.31446540880503143,19,1.0,7.64,0.47,6.5
4I8V,challenging,Cytochrome P450,8.644470356129306,0.0,0.0,0.0,0.0,60.664085,0.17248504622077215,3.3693197,0.35294117647058826,15,1.0,6.28,0.17,4.5
2GIF,challenging,Bacterial multidrug efflux transporter AcrB,6.239864943622949,0.0,0.0,0.0,0.0,82.73412,0.6620111731843575,3.7660418,0.35,24,3.0,10.73,0.47,1.5
1QS4,challenging,HIV integrase,6.546635694060958,0.047619047619047616,0.125,0.06896551724137931,0.04034690799396682,14.616293,0.4437467294610152,3.4810102,0.38414634146341464,21,1.0,9.15,0.11,7.0
1TRB,challenging,Thioredoxin reductase,4.989548779692453,0.17647058823529413,0.09375,0.12244897959183672,0.07311557788944724,18.433748,0.6345197091465749,1.5816112,0.3380281690140845,17,3.0,12.33,0.26,3.5
